Geography,Geographic Area Name,Estimate!!Mean income (dollars)!!HOUSEHOLD INCOME!!All households
860Z200US02132,ZCTA5 02132,160495
860Z200US02133,ZCTA5 02133,-
860Z200US02134,ZCTA5 02134,94307
860Z200US02135,ZCTA5 02135,107692
860Z200US02136,ZCTA5 02136,110384
860Z200US02138,ZCTA5 02138,182108
860Z200US02139,ZCTA5 02139,160365
860Z200US02140,ZCTA5 02140,180320
860Z200US02141,ZCTA5 02141,142167
860Z200US02142,ZCTA5 02142,195846
860Z200US02143,ZCTA5 02143,145603
860Z200US02144,ZCTA5 02144,165125
860Z200US02145,ZCTA5 02145,135586
860Z200US02148,ZCTA5 02148,111391
860Z200US02149,ZCTA5 02149,96179
860Z200US02150,ZCTA5 02150,87164
860Z200US02151,ZCTA5 02151,98834
860Z200US02152,ZCTA5 02152,128952
860Z200US02155,ZCTA5 02155,143609
860Z200US02163,ZCTA5 02163,94820
860Z200US02169,ZCTA5 02169,106953
860Z200US02170,ZCTA5 02170,116519
860Z200US02171,ZCTA5 02171,131427
860Z200US02176,ZCTA5 02176,148438
860Z200US02180,ZCTA5 02180,141403
860Z200US02184,ZCTA5 02184,149467
860Z200US02186,ZCTA5 02186,217746
860Z200US02188,ZCTA5 02188,115314
860Z200US02189,ZCTA5 02189,115756
860Z200US02190,ZCTA5 02190,121554
860Z200US02191,ZCTA5 02191,117251
860Z200US02199,ZCTA5 02199,175283
860Z200US02203,ZCTA5 02203,-
860Z200US02205,ZCTA5 02205,-
860Z200US02210,ZCTA5 02210,264158
860Z200US02215,ZCTA5 02215,97195
860Z200US02301,ZCTA5 02301,98164
860Z200US02302,ZCTA5 02302,101830
860Z200US02322,ZCTA5 02322,121417
860Z200US02324,ZCTA5 02324,137156
860Z200US02325,ZCTA5 02325,32413
860Z200US02330,ZCTA5 02330,104797
860Z200US02332,ZCTA5 02332,207601
860Z200US02333,ZCTA5 02333,156306
860Z200US02338,ZCTA5 02338,126687
860Z200US02339,ZCTA5 02339,204945
860Z200US02341,ZCTA5 02341,145868
860Z200US02343,ZCTA5 02343,109852
860Z200US02346,ZCTA5 02346,116425
860Z200US02347,ZCTA5 02347,139459
860Z200US02350,ZCTA5 02350,77071
860Z200US02351,ZCTA5 02351,129815
860Z200US02356,ZCTA5 02356,163582
860Z200US02357,ZCTA5 02357,-
860Z200US02359,ZCTA5 02359,152955
860Z200US02360,ZCTA5 02360,134868
860Z200US02364,ZCTA5 02364,135607
860Z200US02366,ZCTA5 02366,-
860Z200US02367,ZCTA5 02367,148104
860Z200US02368,ZCTA5 02368,117638
860Z200US02370,ZCTA5 02370,117560
860Z200US02375,ZCTA5 02375,150463
860Z200US02379,ZCTA5 02379,130452
860Z200US02382,ZCTA5 02382,114430
860Z200US02420,ZCTA5 02420,304158
860Z200US02421,ZCTA5 02421,262295
860Z200US02445,ZCTA5 02445,223473
860Z200US02446,ZCTA5 02446,181082
860Z200US02451,ZCTA5 02451,152841
860Z200US02452,ZCTA5 02452,129490
860Z200US02453,ZCTA5 02453,133924
860Z200US02457,ZCTA5 02457,N
860Z200US02458,ZCTA5 02458,197019
860Z200US02459,ZCTA5 02459,298359
860Z200US02460,ZCTA5 02460,210002
860Z200US02461,ZCTA5 02461,264239
860Z200US02462,ZCTA5 02462,216089
860Z200US02464,ZCTA5 02464,174227
860Z200US02465,ZCTA5 02465,262964
860Z200US02466,ZCTA5 02466,207307
860Z200US02467,ZCTA5 02467,270599
860Z200US02468,ZCTA5 02468,382509
860Z200US02472,ZCTA5 02472,153247
860Z200US02474,ZCTA5 02474,170029
860Z200US02476,ZCTA5 02476,196923
860Z200US02478,ZCTA5 02478,227995
860Z200US02481,ZCTA5 02481,414379
860Z200US02482,ZCTA5 02482,314233
860Z200US02492,ZCTA5 02492,275144
860Z200US02493,ZCTA5 02493,365202
860Z200US02494,ZCTA5 02494,255348
860Z200US02532,ZCTA5 02532,102247
860Z200US02534,ZCTA5 02534,242132
860Z200US02535,ZCTA5 02535,223352
860Z200US02536,ZCTA5 02536,124087
860Z200US02537,ZCTA5 02537,152082
860Z200US02538,ZCTA5 02538,102943
860Z200US02539,ZCTA5 02539,154053
860Z200US02540,ZCTA5 02540,134222
860Z200US02542,ZCTA5 02542,67127
860Z200US02543,ZCTA5 02543,119702
860Z200US02553,ZCTA5 02553,N
860Z200US02554,ZCTA5 02554,178307
860Z200US02556,ZCTA5 02556,165850
860Z200US02557,ZCTA5 02557,152989
860Z200US02558,ZCTA5 02558,82404
860Z200US02559,ZCTA5 02559,118753
860Z200US02561,ZCTA5 02561,111965
860Z200US02562,ZCTA5 02562,138672
860Z200US02563,ZCTA5 02563,145665
860Z200US02564,ZCTA5 02564,58642
860Z200US02568,ZCTA5 02568,127615
860Z200US02571,ZCTA5 02571,99468
860Z200US02575,ZCTA5 02575,179192
860Z200US02576,ZCTA5 02576,90129
860Z200US02584,ZCTA5 02584,N
860Z200US02601,ZCTA5 02601,87087
860Z200US02630,ZCTA5 02630,212228
860Z200US02631,ZCTA5 02631,136659
860Z200US02632,ZCTA5 02632,134153
860Z200US02633,ZCTA5 02633,156088
860Z200US02635,ZCTA5 02635,141131
860Z200US02637,ZCTA5 02637,184836
860Z200US02638,ZCTA5 02638,131088
860Z200US02639,ZCTA5 02639,84471
860Z200US02641,ZCTA5 02641,134849
860Z200US02642,ZCTA5 02642,112622
860Z200US02643,ZCTA5 02643,-
860Z200US02644,ZCTA5 02644,130464
860Z200US02645,ZCTA5 02645,109620
860Z200US02646,ZCTA5 02646,118892
860Z200US02647,ZCTA5 02647,213842
860Z200US02648,ZCTA5 02648,132548
860Z200US02649,ZCTA5 02649,117979
860Z200US02650,ZCTA5 02650,186445
860Z200US02652,ZCTA5 02652,134175
860Z200US02653,ZCTA5 02653,142898
860Z200US02655,ZCTA5 02655,165839
860Z200US02657,ZCTA5 02657,153475
860Z200US02659,ZCTA5 02659,124754
