Geography,Geographic Area Name,Estimate!!Total!!HOUSEHOLDS!!Total households
860Z200US02135,ZCTA5 02135,20713
860Z200US02136,ZCTA5 02136,13591
860Z200US02138,ZCTA5 02138,14480
860Z200US02139,ZCTA5 02139,15995
860Z200US02140,ZCTA5 02140,9949
860Z200US02141,ZCTA5 02141,7069
860Z200US02142,ZCTA5 02142,2140
860Z200US02143,ZCTA5 02143,12074
860Z200US02144,ZCTA5 02144,11203
860Z200US02145,ZCTA5 02145,11608
860Z200US02148,ZCTA5 02148,25809
860Z200US02149,ZCTA5 02149,17054
860Z200US02150,ZCTA5 02150,13371
860Z200US02151,ZCTA5 02151,21555
860Z200US02152,ZCTA5 02152,8328
860Z200US02155,ZCTA5 02155,25368
860Z200US02163,ZCTA5 02163,453
860Z200US02169,ZCTA5 02169,28034
860Z200US02170,ZCTA5 02170,8101
860Z200US02171,ZCTA5 02171,8778
860Z200US02176,ZCTA5 02176,12037
860Z200US02180,ZCTA5 02180,9654
860Z200US02184,ZCTA5 02184,14407
860Z200US02186,ZCTA5 02186,9182
860Z200US02188,ZCTA5 02188,6722
860Z200US02189,ZCTA5 02189,6433
860Z200US02190,ZCTA5 02190,8079
860Z200US02191,ZCTA5 02191,3462
860Z200US02199,ZCTA5 02199,842
860Z200US02203,ZCTA5 02203,0
860Z200US02205,ZCTA5 02205,0
860Z200US02210,ZCTA5 02210,3730
860Z200US02215,ZCTA5 02215,8329
860Z200US02301,ZCTA5 02301,23345
860Z200US02302,ZCTA5 02302,12144
860Z200US02322,ZCTA5 02322,1770
860Z200US02324,ZCTA5 02324,9162
860Z200US02325,ZCTA5 02325,32
860Z200US02330,ZCTA5 02330,4695
860Z200US02332,ZCTA5 02332,6063
860Z200US02333,ZCTA5 02333,5085
860Z200US02338,ZCTA5 02338,2966
860Z200US02339,ZCTA5 02339,4843
860Z200US02341,ZCTA5 02341,4030
860Z200US02343,ZCTA5 02343,4587
860Z200US02346,ZCTA5 02346,9648
860Z200US02347,ZCTA5 02347,4123
860Z200US02350,ZCTA5 02350,49
