RegionID,SizeRank,RegionName,RegionType,State,City,Metro,month,ZHVI
67191,6391,22206,zip,VA,Arlington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,525664.851478166
68018,6411,24151,zip,VA,Rocky Mount,"Roanoke, VA",2022-05-31,210901.85669048375
66882,6423,21409,zip,MD,Annapolis,"Baltimore-Columbia-Towson, MD",2022-05-31,525589.4159856242
66781,6445,21108,zip,MD,,"Baltimore-Columbia-Towson, MD",2022-05-31,563596.549947761
67435,6462,22911,zip,VA,Charlottesville,"Charlottesville, VA",2022-05-31,432715.4029467772
67160,6466,22124,zip,VA,Oakton,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,949724.3778200469
67229,6527,22311,zip,VA,Alexandria,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,649417.3044618753
67795,6541,23692,zip,VA,Yorktown,"Virginia Beach-Norfolk-Newport News, VA-NC",2022-05-31,388111.1897716784
67129,6576,22039,zip,VA,,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,1033075.4469999252
66764,6585,21076,zip,MD,Hanover,"Baltimore-Columbia-Towson, MD",2022-05-31,503849.0213037845
66695,6591,20895,zip,MD,Kensington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,750411.174728882
67118,6617,22026,zip,VA,Dumfries,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,515502.12368088827
68033,6624,24179,zip,VA,Vinton,"Roanoke, VA",2022-05-31,220758.21125445628
66811,6656,21201,zip,MD,Baltimore,"Baltimore-Columbia-Towson, MD",2022-05-31,210573.2775249488
67135,6674,22046,zip,VA,Falls Church,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,952344.0135106612
66704,6693,20905,zip,MD,Silver Spring,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,634048.6998960931
67223,6705,22305,zip,VA,Alexandria,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,749208.1902894214
66750,6718,21050,zip,MD,Forest Hill,"Baltimore-Columbia-Towson, MD",2022-05-31,444052.5203456382
66141,6724,20018,zip,DC,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,630182.8138739619
67117,6797,22025,zip,VA,Dumfries,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,514418.7477628726
67660,6808,23325,zip,VA,Chesapeake,"Virginia Beach-Norfolk-Newport News, VA-NC",2022-05-31,267718.0677584335
66921,6858,21613,zip,MD,Cambridge,"Cambridge, MD",2022-05-31,230273.66464064596
67704,6877,23430,zip,VA,Smithfield,"Virginia Beach-Norfolk-Newport News, VA-NC",2022-05-31,360494.8830265604
66769,6903,21085,zip,MD,Joppa,"Baltimore-Columbia-Towson, MD",2022-05-31,322767.5273643704
66583,6923,20724,zip,MD,Laurel,"Baltimore-Columbia-Towson, MD",2022-05-31,411947.43645412725
66136,6937,20012,zip,DC,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,832775.6861127875
67165,6960,22151,zip,VA,Springfield,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,635136.9362609208
68103,6999,24333,zip,VA,Galax,,2022-05-31,151238.03156149856
68040,7002,24210,zip,VA,Abingdon,"Kingsport-Bristol, TN-VA",2022-05-31,204463.3548239144
67460,7024,22963,zip,VA,Palmyra,"Charlottesville, VA",2022-05-31,315781.3947169171
67138,7139,22066,zip,VA,Great Falls,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,1451622.4438649446
66669,7145,20855,zip,MD,Derwood,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,632467.3659526157
66256,7170,20166,zip,VA,Sterling,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,561167.8333526147
67601,7178,23226,zip,VA,Richmond,"Richmond, VA",2022-05-31,469448.7113193935
67324,7204,22603,zip,VA,Winchester,"Winchester, VA-WV",2022-05-31,360983.2711407496
66820,7216,21210,zip,MD,Baltimore,"Baltimore-Columbia-Towson, MD",2022-05-31,466075.0207313923
66647,7251,20816,zip,MD,Bethesda,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,1274785.3114848908
67918,7251,24015,zip,VA,Roanoke,"Roanoke, VA",2022-05-31,238933.50733442532
67917,7259,24014,zip,VA,Roanoke,"Roanoke, VA",2022-05-31,221864.5283685693
68149,7306,24450,zip,VA,Lexington,,2022-05-31,298722.9050056007
66675,7312,20866,zip,MD,Burtonsville,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,429859.1437341772
67220,7346,22302,zip,VA,Arlington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,431577.9396514635
67866,7401,23901,zip,VA,Farmville,,2022-05-31,224900.0593633819
68220,7436,24572,zip,VA,Madison Heights,"Lynchburg, VA",2022-05-31,196155.3560548929
66762,7499,21074,zip,MD,Hampstead,"Baltimore-Columbia-Towson, MD",2022-05-31,369679.2469899447
67825,7504,23838,zip,VA,Chesterfield,"Richmond, VA",2022-05-31,454501.8624764338
66224,7524,20124,zip,VA,Clifton,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,894109.7426099147
67097,7527,21901,zip,MD,North East,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2022-05-31,327499.38400993013
66821,7562,21211,zip,MD,Baltimore,"Baltimore-Columbia-Towson, MD",2022-05-31,250038.87317394716
67306,7586,22553,zip,VA,Fredericksburg,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,364282.8626867227
66138,7642,20015,zip,DC,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,1333750.2208168972
68036,7682,24201,zip,VA,Bristol,"Kingsport-Bristol, TN-VA",2022-05-31,142440.43592713217
66686,7685,20882,zip,MD,Gaithersburg,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,738788.2935914168
66989,7715,21704,zip,MD,Frederick,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,599053.765541393
67530,7721,23093,zip,VA,Louisa,,2022-05-31,299211.6131993249
66815,7727,21205,zip,MD,Baltimore,"Baltimore-Columbia-Towson, MD",2022-05-31,113542.32764136972
66747,7768,21046,zip,MD,Columbia,"Baltimore-Columbia-Towson, MD",2022-05-31,460585.82094564894
66527,7782,20639,zip,MD,Huntingtown,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,567159.4452251649
66754,7789,21054,zip,MD,Gambrills,"Baltimore-Columbia-Towson, MD",2022-05-31,570876.8796860705
67302,7795,22546,zip,VA,Ruther Glen,,2022-05-31,288610.9450197054
67773,7820,23605,zip,VA,Newport News,"Virginia Beach-Norfolk-Newport News, VA-NC",2022-05-31,176910.09346438674
67175,7859,22181,zip,VA,Vienna,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,940643.1114754804
67804,7878,23707,zip,VA,Portsmouth,"Virginia Beach-Norfolk-Newport News, VA-NC",2022-05-31,209607.55818836868
68124,7901,24382,zip,VA,Wytheville,,2022-05-31,175645.4739809749
66789,7914,21128,zip,MD,Perry Hall,"Baltimore-Columbia-Towson, MD",2022-05-31,410167.529955496
66272,7928,20186,zip,VA,Warrenton,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,534678.511455498
67784,7940,23663,zip,VA,Hampton,"Virginia Beach-Norfolk-Newport News, VA-NC",2022-05-31,182569.82488672165
67782,7961,23661,zip,VA,Hampton,"Virginia Beach-Norfolk-Newport News, VA-NC",2022-05-31,194945.15823510665
67282,8051,22508,zip,VA,Locust Grove,,2022-05-31,386586.8599727166
67221,8084,22303,zip,VA,Huntington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,472272.5718764939
66841,8127,21231,zip,MD,Baltimore,"Baltimore-Columbia-Towson, MD",2022-05-31,285661.9940117971
66505,8128,20613,zip,MD,Brandywine,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,498676.1988065117
67219,8136,22301,zip,VA,Alexandria,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,974365.9294508356
66908,8178,21550,zip,MD,Oakland,,2022-05-31,275046.1901527608
66532,8220,20650,zip,MD,Leonardtown,"California-Lexington Park, MD",2022-05-31,468869.1335255308
67134,8240,22044,zip,VA,Falls Church,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,503604.7045817672
66659,8297,20841,zip,MD,Germantown,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,793634.9894345133
67596,8305,23221,zip,VA,Richmond,"Richmond, VA",2022-05-31,521279.0139729344
67411,8391,22835,zip,VA,Luray,,2022-05-31,248810.90308048404
66964,8414,21666,zip,MD,Stevensville,"Baltimore-Columbia-Towson, MD",2022-05-31,473280.62342737353
67028,8415,21769,zip,MD,Middletown,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,498443.6350917697
66129,8424,20005,zip,DC,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,544441.048300528
67032,8437,21774,zip,MD,New Market,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,541765.1107813065
66748,8447,21047,zip,MD,Fallston,"Baltimore-Columbia-Towson, MD",2022-05-31,511436.0344720964
67566,8463,23150,zip,VA,Sandston,"Richmond, VA",2022-05-31,256650.81358523932
67847,8469,23875,zip,VA,Prince George,"Richmond, VA",2022-05-31,281463.4002961816
67834,8472,23847,zip,VA,Emporia,,2022-05-31,116122.4843455801
66525,8479,20636,zip,MD,Hollywood,"California-Lexington Park, MD",2022-05-31,455046.6232265353
67823,8506,23836,zip,VA,Chester,"Richmond, VA",2022-05-31,372926.1600773158
66678,8506,20872,zip,MD,Damascus,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,496923.1739604476
67753,8513,23509,zip,VA,Norfolk,"Virginia Beach-Norfolk-Newport News, VA-NC",2022-05-31,236335.6683702158
66146,8523,20024,zip,DC,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,460560.9482949877
67548,8528,23120,zip,VA,Moseley,"Richmond, VA",2022-05-31,534286.5995225833
68085,8533,24301,zip,VA,Pulaski,"Blacksburg-Christiansburg, VA",2022-05-31,144193.3579146598
66665,8544,20851,zip,MD,Rockville,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,482276.2190283433
66899,8562,21532,zip,MD,Frostburg,"Cumberland, MD-WV",2022-05-31,154222.73073802495
68135,8571,24426,zip,VA,Covington,,2022-05-31,115339.78987663658
67783,8591,23662,zip,VA,Poquoson,"Virginia Beach-Norfolk-Newport News, VA-NC",2022-05-31,393318.4313845518
66924,8623,21620,zip,MD,Chestertown,,2022-05-31,327132.9811501081
66733,8629,21029,zip,MD,Clarksville,"Baltimore-Columbia-Towson, MD",2022-05-31,921248.4149434476
67836,8629,23851,zip,VA,Franklin,"Virginia Beach-Norfolk-Newport News, VA-NC",2022-05-31,190633.5996169737
67193,8658,22209,zip,VA,Arlington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,613346.6783318449
66628,8663,20781,zip,MD,Edmonston,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,428253.6996443787
67226,8667,22308,zip,VA,Fort Hunt,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-05-31,884578.3273033971
68037,8699,24202,zip,VA,Bristol,"Kingsport-Bristol, TN-VA",2022-05-31,198048.242716989
