Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 03/16 16:00:00,0.740854372407,0.19563231504599998,0.0,0.0,0.0,0.0,0.0,0.0,0.041921440150599995,0.00753161213383,0.0752305305505,0.31943050559999997,0.286210283972
 03/16 17:00:00,0.9598659341429999,0.564796944804,0.0,0.254887516379,0.0,0.004422922095979999,0.004422922095979999,0.004422922095979999,0.0838428803013,0.0150632242677,0.0922276002925,0.38805701376699997,0.365722293419
 03/16 18:00:00,1.1791433497700001,0.249411871163,0.0,0.0,0.0,0.0,0.0,0.0,0.162217766574,0.029144067919900003,0.0938343890347,0.421312792432,0.4321043338100001
 03/16 19:00:00,1.2562569896100002,0.143445638018,0.0,0.0,0.0,0.0,0.0,0.0,0.242415287003,0.043552366294099996,0.08587000220839999,0.434877649519,0.439011684582
 03/16 20:00:00,1.24365265295,0.0977119293362,0.0,0.0,0.0,0.0,0.0,0.0,0.260641994805,0.0468269793118,0.0765268754022,0.44982816405000003,0.39929863937700005
 03/16 21:00:00,1.12919100513,0.07694463090630001,0.0,0.0,0.0,0.0,0.0,0.0,0.218720554654,0.0392953671779,0.0696771717763,0.439326339209,0.35164157230899995
 03/16 22:00:00,0.926356443601,0.198213311435,0.0,0.142714084834,0.0,0.00247643858038,0.00247643858038,0.00247643858038,0.16404043125,0.029471528125,0.06115742313730001,0.380180645135,0.27849997737300003
 03/16 23:00:00,0.732241833877,0.361748740347,0.0,0.319023917658,0.0,0.00553584559416,0.00553584559416,0.00553584559416,0.114828301875,0.0206300696875,0.053823325404400005,0.330369906477,0.196524384839
 03/17 00:00:00,0.5155414349499999,0.559567500933,0.0,0.527435294121,0.0,0.00915229293966,0.00915229293966,0.00915229293966,0.058325483275699995,0.0104787649463,0.0485932653724,0.2732662339,0.105195394516
 03/17 01:00:00,0.423937990479,0.6997925106659999,0.0,0.669148447039,0.0,0.0116113629021,0.0116113629021,0.0116113629021,0.034630750926300004,0.00622176583015,0.046130409106,0.25160622016399997,0.0632074815496
 03/17 02:00:00,0.39866819408299997,0.8375751069349999,0.0,0.8138196892139999,0.0,0.0141217629514,0.0141217629514,0.0141217629514,0.0236947292974,0.00425699856787,0.04399866156880001,0.24868904659699997,0.053376995100499994
 03/17 03:00:00,0.399692658116,0.9637741278290001,0.0,0.940259218098,0.0,0.0163157981636,0.0163157981636,0.0163157981636,0.0236947292974,0.00425699856787,0.042470157715099995,0.24518843831700002,0.057236536055500005
 03/17 04:00:00,0.42724022413900004,1.13531105486,0.0,1.1057442666,0.0,0.019187368682299998,0.019187368682299998,0.019187368682299998,0.0236947292974,0.00425699856787,0.0427496529025,0.235926412241,0.0908950624477
 03/17 05:00:00,0.6123907800280001,1.2027457247799997,0.0,1.16463063855,0.0,0.0202091913252,0.0202091913252,0.0202091913252,0.0255174000776,0.004584459869630001,0.0447567874514,0.263274914433,0.24351802687100002
 03/17 06:00:00,0.9587398977089999,1.14174314823,0.0,1.07408312784,0.0,0.018637970452700003,0.018637970452700003,0.018637970452700003,0.040098775474300005,0.00720415192867,0.0513555313521,0.30418827371199997,0.5267251947899999
 03/17 07:00:00,1.10915805983,1.5618402138499998,0.0,1.4594691049200001,0.0,0.0253253601598,0.0253253601598,0.0253253601598,0.07108419704800001,0.012770997348499999,0.06031668821169999,0.323222831237,0.590907985821
 03/17 08:00:00,0.989578297905,1.2531083038200002,0.0,1.14750011502,0.0,0.019911934825099998,0.019911934825099998,0.019911934825099998,0.0565028185994,0.0101513047412,0.0680613007556,0.2732662339,0.551154705083
 03/17 09:00:00,0.846976702108,1.2412279933600001,0.0,1.13439144043,0.0,0.019684467245200003,0.019684467245200003,0.019684467245200003,0.0291627416378,0.00523938247316,0.071130532077,0.232571662639,0.47865791603600005
 03/17 10:00:00,0.7687221468790001,1.2265025722399998,0.0,1.12998382439,0.0,0.0196079843219,0.0196079843219,0.0196079843219,0.0236947292974,0.00425699856787,0.0670225310811,0.238041363077,0.40556854053400004
 03/17 11:00:00,0.706927147841,1.2354829333700001,0.0,1.12560162305,0.0,0.0195319424058,0.0195319424058,0.0195319424058,0.0236947292974,0.00425699856787,0.0662473497925,0.238114292416,0.344551835361
 03/17 12:00:00,0.651544965759,0.917043667892,0.0,0.794080387772,0.0,0.013779237771100001,0.013779237771100001,0.013779237771100001,0.0236947292974,0.00425699856787,0.0680812751934,0.234103178762,0.297099546168
 03/17 13:00:00,0.629488336901,0.897437605285,0.0,0.793963924901,0.0,0.0137772168553,0.0137772168553,0.0137772168553,0.0236947292974,0.00425699856787,0.06644160630969999,0.24219833540999997,0.268589450461
